RETURN_ID,DATE,REGION,PRODUCT,LOT_ID,REASON,QTY,UNIT_COST_EUR,TOTAL_COST_EUR
RET24Q4-0001,2024-10-12,EMEA,SmartCollar,341,Battery dead on arrival,25,49.00,1225.00
RET24Q4-0002,2024-10-28,EMEA,SmartCollar,341,Battery drains overnight,40,49.00,1960.00
RET24Q4-0003,2024-11-09,EMEA,SmartCollar,341,Won't hold charge,55,49.00,2695.00
RET24Q4-0004,2024-11-26,EMEA,SmartCollar,341,Battery fault - RMA,70,49.00,3430.00
RET24Q4-0005,2024-12-08,EMEA,SmartCollar,341,Returns surge - battery,85,49.00,4165.00
RET24Q4-0006,2024-12-20,EMEA,SmartCollar,341,Battery issue confirmed by QA,60,49.00,2940.00
RET24Q3-0001,2024-08-15,EMEA,SmartCollar,332,Misc defect,8,49.00,392.00
RET23Q4-0001,2023-11-18,EMEA,SmartCollar,298,Normal returns,12,49.00,588.00






